step,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27
1,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
2,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
3,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
4,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
5,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
6,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
7,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
8,1.0000008344650269,1.0000007152557373,1.000001072883606,0.9999997615814209,1.0000005960464478,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.000001311302185,1.000001072883606,1.0000011920928955,1.000001072883606,1.0000008344650269,1.0000014305114746,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000009536743164,1.0000008344650269,1.000001072883606,1.0000008344650269,1.0000005960464478,1.000001072883606
9,0.5890191197395325,0.6488338708877563,0.6127938032150269,0.3359026312828064,0.44151487946510315,0.4743887186050415,0.5982472896575928,0.559023380279541,0.5239489078521729,0.5782990455627441,0.6393653154373169,0.6641308665275574,0.6585642099380493,0.6644771695137024,0.6559962034225464,0.698997974395752,0.7119751572608948,0.76125568151474,0.7627591490745544,0.7718846797943115,0.7589681148529053,0.7354863882064819,0.7385099530220032,0.7503336668014526,0.7737393975257874,0.756479799747467,0.7719943523406982,0.6164272427558899
10,1.0000009536743164,1.000001072883606,1.000001072883606,1.000001311302185,1.0000008344650269,1.000001072883606,1.0000009536743164,1.0000011920928955,1.000001311302185,1.0000011920928955,1.0000011920928955,1.0000009536743164,1.0000009536743164,1.0000009536743164,1.0000011920928955,1.0000007152557373,1.0000009536743164,1.0000005960464478,1.0000008344650269,1.0000011920928955,1.0000014305114746,1.0000011920928955,1.0000008344650269,1.0000011920928955,1.0000009536743164,1.0000007152557373,1.0000008344650269,1.0000011920928955
