layer,llada_layer_mean
0,0.9885679642359416
1,0.9890321294466654
2,0.9890067100524902
3,0.9854987661043803
4,0.9851336240768432
5,0.986377493540446
6,0.9854647199312846
7,0.9863636295000712
8,0.9840602199236552
9,0.9800875385602316
10,0.9785480618476867
11,0.9740519007047017
12,0.9691258470217387
13,0.9679430882136028
14,0.9635392705599467
15,0.9549594283103943
16,0.9538347562154134
17,0.9503595232963562
18,0.9472881078720092
19,0.944657317797343
20,0.9431705196698507
21,0.9305757641792297
22,0.9199320197105407
23,0.9173085212707519
24,0.9092042525609334
25,0.8887072642644246
26,0.8840791245301565
27,0.881138809521993
28,0.8813590943813324
29,0.8776330123345057
30,0.88896777232488
31,0.8814781109491984
